,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Phosphorus, mixed forms",Turbidity,Orthophosphate,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SNp,DIN,SN,"Total Nitrogen, mixed forms"
319,2015,FH,17000,4.230448921,7590,1.308385478,69,8.525,211.55,18.5,137500,10.05,1.04,,9.2,5.45,,17.14925373,18.60696517,0.921657754,14.65,172.35,187
347,2016,FH,20800,4.318063335,7590,1.39939565,69,8.345,192.05,18.8,124800,8.7,0.86,1.2,21.1,9.6,25.58333333,11.81609195,15.34482759,0.770037453,30.7,102.8,133.5
344,2016,FH,20800,4.318063335,7590,1.39939565,100,8.365,217,17,141050,9.6,1.08,0.85,13.75,6.55,23.88235294,13.77083333,15.88541667,0.866885246,20.3,132.2,152.5
346,2016,FH,20800,4.318063335,7590,1.39939565,130,,,,,11.23333333,,1.025,27.6,8,34.73170732,13.77448071,16.94362018,0.81295972,35.6,154.7333333,190.3333333
159,2010,FH,26400,4.421603927,7590,1.515144488,17,7.83,143.3,18.9,76100,37.1,12.9,12.7,58.4,42.5,7.94488189,3.776280323,6.495956873,0.581327801,100.9,140.1,241
161,2010,FH,26400,4.421603927,7590,1.515144488,68,,,,,10.675,,3.55,6.15,8,3.985915493,14.27166276,15.5971897,0.915015015,14.15,152.35,166.5
162,2010,FH,26400,4.421603927,7590,1.515144488,94,8.54,243.3333333,16.3,129333.3333,9.8,1.736666667,3.2,9.4,9.166666667,5.802083334,14.19387755,16.08843538,0.882241015,18.56666667,139.1,157.6666667
160,2010,FH,26400,4.421603927,7590,1.515144488,38,8.22,193.2333333,21.03333333,102566.6667,10.93333333,1.92,4.766666667,9.033333333,7.766666667,3.524475524,17.30487805,18.84146342,0.918446602,16.8,189.2,206
512,2021,FH,31700,4.501059262,7590,1.610420025,45,,,,,33.66666667,,25,20,23.66666667,1.746666667,4.445544552,5.742574256,0.774137931,43.66666667,149.6666666,193.3333333
508,2021,FH,31700,4.501059262,7590,1.610420025,124,,,,,11,,,10,8,,8.363636364,10,0.836363636,18,92,110
510,2021,FH,31700,4.501059262,7590,1.610420025,99,,,,,10.5,,,20,10,,8.095238095,10.95238095,0.739130435,30,85,115
513,2021,FH,31700,4.501059262,7590,1.610420025,79,,,,,8,,,20,6,,13,16.25,0.8,26,104,130
265,2013,FH,32700,4.514547753,7590,1.627178981,127,8.43,248.7,16.3,161800,12.48,1.48,2.73,11.23,8.93,7.384615385,10.59615385,12.21153846,0.867716535,20.16,132.24,152.4
266,2013,FH,32700,4.514547753,7590,1.627178981,103,8.445,227,19.5,147550,9.04,1.015,3.53,8.73,10.405,5.420679887,14.62223451,16.73893805,0.873546127,19.135,132.185,151.32
376,2017,FH,34500,4.537819095,7590,1.656503812,46,8.14,209.3,20.1,135800,9,1.08,1.55,19.1,19.45,24.87096774,10.88333333,15.16666667,0.717582418,38.55,97.95,136.5
